MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,target
6.5563,22,6.622,0.656,2638,3.0092,36.7918,-115.9109,329369
14.3346,2,2.4802,0.9772,1764,3.4695,33.5641,-119.5301,739220
11.3819,4,7.8544,2.1404,238,3.0665,37.2713,-114.2705,632659
9.5819,45,8.7935,1.7093,4471,2.0908,40.6112,-123.3786,431821
3.6063,13,3.5684,2.0903,1666,4.8155,40.8995,-120.2114,199457
3.6059,32,8.9006,4.6881,3919,4.8322,35.5581,-122.215,197778
2.2841,22,1.7293,0.8326,710,1.6674,38.7015,-121.0292,123344
13.1934,25,8.2042,2.5823,3338,3.1224,32.6589,-122.7823,668348
9.6151,27,6.761,1.3922,4642,4.1585,36.9927,-119.0089,500481
11.059,17,6.248,2.1013,4550,1.2191,34.2697,-123.8666,560227
1.7779,6,3.0712,3.5467,2943,1.4943,34.9885,-118.1547,88508
14.5938,43,4.2566,4.8782,1046,3.1796,36.6404,-114.6106,676718
12.738,51,9.1927,3.6263,1239,1.1134,41.1359,-122.3803,659409
4.3666,16,5.1917,4.4818,1100,4.332,40.2343,-117.4207,191436
3.9546,8,6.3494,1.1627,3236,4.4927,35.8244,-121.4069,251575
3.976,33,9.4227,1.3163,1331,3.9452,36.7759,-122.5453,307172
5.6073,10,5.1984,4.4455,208,4.2894,40.7413,-115.6235,292639
8.5842,34,4.4944,3.2339,1903,3.6869,32.825,-119.2718,448414
7.3313,19,9.0388,4.0645,2303,1.5675,39.7664,-123.3327,384530
5.4316,14,9.198,1.5029,3939,1.1194,33.6924,-118.579,356063
9.76,3,4.1917,2.0687,1112,4.3923,34.7878,-114.2126,512429
3.3832,41,6.3279,0.8647,683,3.8286,34.1756,-115.9544,186217
5.444,23,9.6735,4.5301,1858,2.5938,37.5125,-118.4371,306140
6.4459,40,1.4992,4.8036,2908,4.1873,34.3,-114.4914,241502
7.6569,11,1.3582,4.3586,1233,1.2131,36.5651,-115.9779,371653
12.0999,47,5.6492,2.4673,4225,2.2763,32.261,-119.5243,585349
4.1956,6,3.6212,2.0351,3162,2.3674,35.1624,-119.2979,217237
8.4422,34,6.2366,2.5817,1542,1.4195,39.1116,-114.7286,373698
9.4976,1,7.5187,3.3693,4553,3.9668,36.3475,-123.5477,558064
2.1271,35,1.6217,2.4418,4792,4.1101,40.2334,-120.7163,129404
9.7019,25,8.9413,2.3973,1504,3.3327,36.5976,-119.6116,460469
3.8021,29,3.492,2.4397,875,2.6714,40.7595,-121.9833,183819
2.3782,23,4.4321,3.8506,830,3.4282,35.9452,-122.2244,120639
14.31,18,4.0333,4.0406,388,4.5935,35.6112,-118.985,763245
14.536,14,8.5585,4.4174,1199,2.431,34.568,-118.1381,741878
